邮件号,总邮资,寄达省名称,重量(克),店铺名称,规格名称
9.86999E+12,5,云南省,3000,晨熙日用品,整箱180只（1号大碗）850ml
9.86999E+12,3.8,重庆市,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.86994E+12,4.3,贵州省,2000,晨熙日用品,500只(中厚型)10包180ml
9.8502E+12,3,湖北省,2000,晨熙日用品,500只(加厚型)5包180ml
9.8502E+12,3.8,江西省,2000,晨熙日用品,500只(加厚型)5包180ml
9.85018E+12,4.3,海南省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85018E+12,4.3,海南省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85018E+12,3.8,湖南省,2000,晨熙日用品,500只(共5包)加厚
9.85018E+12,3.8,湖南省,2000,晨熙日用品,500只(共5包)加厚
9.85018E+12,3.8,湖南省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85018E+12,22.4,青海省,2000,晨熙日用品,整箱225只（3号碗）500ml
9.85018E+12,4.3,云南省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85018E+12,3.8,重庆市,2000,晨熙日用品,500只(中厚型)10包180ml
9.85016E+12,3.5,广东省,720,晨熙日用品,500只(中厚型)10包180ml
9.85015E+12,3.8,广东省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85015E+12,4.3,云南省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85022E+12,4.3,贵州省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85023E+12,3,湖北省,3000,晨熙日用品,整箱248只（5号小碗）350ml
9.85023E+12,3.8,浙江省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85026E+12,3,湖北省,3000,晨熙日用品,整箱248只（5号小碗）350ml
9.85028E+12,3.8,广东省,2000,晨熙日用品,1000只(加厚型)20条230ml
9.85028E+12,3.8,广东省,2000,晨熙日用品,1000只(加厚型)20条230ml
9.85028E+12,3,湖北省,3000,晨熙日用品,整箱248只（5号小碗）350ml
9.85028E+12,3,湖北省,3000,晨熙日用品,整箱248只（5号小碗）350ml
9.85028E+12,3,湖北省,3000,晨熙日用品,整箱248只（5号小碗）350ml
9.85028E+12,4.3,四川省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85028E+12,4.3,天津市,2000,晨熙日用品,1000只(加厚型)20条230ml
9.85028E+12,4.3,天津市,2000,晨熙日用品,1000只(加厚型)20条230ml
9.85029E+12,3,湖北省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85029E+12,3,湖北省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85028E+12,4.3,云南省,2000,晨熙日用品,整箱225只（3号碗）500ml
9.85029E+12,3.8,浙江省,2000,晨熙日用品,500只(加厚型)10条230ml
9.85033E+12,3.8,福建省,3000,晨熙日用品,500只(中厚型)10包180ml
9.85033E+12,4.3,宁夏回族自治区,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85033E+12,3.8,浙江省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85033E+12,3,湖北省,2000,晨熙日用品,整箱225只（3号碗）500ml
9.85033E+12,3.8,江苏省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85033E+12,3.8,山东省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85036E+12,3.8,浙江省,2000,晨熙日用品,整箱225只（3号碗）500ml
9.85034E+12,3.8,福建省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85034E+12,3.8,福建省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85034E+12,4.3,贵州省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85034E+12,3,湖北省,3000,晨熙日用品,500只(中厚型)10包180ml
9.85034E+12,3,湖北省,3000,晨熙日用品,1200只(共15包)
9.85034E+12,3,湖北省,3000,晨熙日用品,1200只(共15包)
9.85034E+12,3,湖北省,3000,晨熙日用品,1200只(共15包)
9.85034E+12,4.3,四川省,2000,晨熙日用品,整箱225只（3号碗）500ml
9.85034E+12,4.3,四川省,2000,晨熙日用品,整箱225只（3号碗）500ml
9.85034E+12,4.3,云南省,2000,晨熙日用品,整箱248只（5号小碗）350ml
9.85039E+12,3.8,广东省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85039E+12,4.3,贵州省,2000,晨熙日用品,500只(中厚型)10包180ml
9.85039E+12,3,湖北省,3000,晨熙日用品,500只(加厚型)5包180ml
9.85039E+12,3,湖北省,3000,晨熙日用品,整箱248只（5号小碗）350ml
总价：,216.9,,,,
服务费：,21.2,53单*0.4,,,
总费用：,238.1,,,,
